id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
31,Asha Charitable Trust,Surat,Gujarat,water & sanitation,Committed to delivering scalable water & sanitation interventions through partnerships with local stakeholders.,"Asha Charitable Trust works across Surat, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG34851331,,"teaching, mentoring, medical",
32,Saathi Seva Kendra,Bengaluru,Karnataka,"elderly care, skill development","Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG32010232,"medical supplies, books, food","event management, project management",
33,Jeevan Trust,Jaipur,Rajasthan,"agriculture, housing","Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.","Jeevan Trust works across Jaipur, offering programs in agriculture. They focus on long-term impact and community engagement.",REG14079433,,"counselling, logistics, data analysis",https://www.jeevantrust.org
34,Saathi Charitable Trust,Bhopal,Madhya Pradesh,disability support,Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,Saathi Charitable Trust runs multiple initiatives in Bhopal related to disability support and works closely with local beneficiaries.,REG99100534,"blankets, medical supplies, computers",agriculture expertise,
35,Navjeevan Mission,Bengaluru,Karnataka,mental health,Committed to delivering scalable mental health interventions through partnerships with local stakeholders.,Navjeevan Mission runs multiple initiatives in Bengaluru related to mental health and works closely with local beneficiaries.,REG54455935,,,
36,Sankriti Mission,Surat,Gujarat,mental health,"Working towards sustainable mental health solutions, focusing on community-driven projects and capacity building.",Sankriti Mission runs multiple initiatives in Surat related to mental health and works closely with local beneficiaries.,REG48734036,toys,teaching,
37,Samarpan Initiative,Ahmedabad,Gujarat,livelihood,Committed to delivering scalable livelihood interventions through partnerships with local stakeholders.,Samarpan Initiative runs multiple initiatives in Ahmedabad related to livelihood and works closely with local beneficiaries.,REG26837937,"stationery, kitchenware","event management, medical",https://www.samarpaninitiative.org
38,Dhanak Society,Hyderabad,Telangana,"animal welfare, skill development",To improve access to animal welfare services for underserved communities in Hyderabad and surrounding areas.,A grassroots organization dedicated to animal welfare with experience in project implementation and volunteer coordination.,REG54373538,,,
39,Jagruti Mission,Surat,Gujarat,microfinance,Committed to delivering scalable microfinance interventions through partnerships with local stakeholders.,A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG79786739,blankets,"teaching, data analysis",
40,Sankalp Association,Kochi,Kerala,human rights,To improve access to human rights services for underserved communities in Kochi and surrounding areas.,Sankalp Association runs multiple initiatives in Kochi related to human rights and works closely with local beneficiaries.,REG42442340,"toys, hygiene kits, medical supplies",logistics,
41,Jeevan Mission,Thiruvananthapuram,Kerala,livelihood,To improve access to livelihood services for underserved communities in Thiruvananthapuram and surrounding areas.,Jeevan Mission runs multiple initiatives in Thiruvananthapuram related to livelihood and works closely with local beneficiaries.,REG41134841,"kitchenware, toys, food","logistics, data analysis",https://www.jeevanmission.org
42,Nirmaan Trust,Vadodara,Gujarat,"women empowerment, elderly care","Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG19180942,food,"teaching, fundraising",
43,Asha Seva Kendra,Ahmedabad,Gujarat,research,Committed to delivering scalable research interventions through partnerships with local stakeholders.,Asha Seva Kendra runs multiple initiatives in Ahmedabad related to research and works closely with local beneficiaries.,REG19020143,kitchenware,,https://www.ashasevakendra.org
44,Asha Seva Kendra,Patna,Bihar,skill development,"Working towards sustainable skill development solutions, focusing on community-driven projects and capacity building.",Asha Seva Kendra runs multiple initiatives in Patna related to skill development and works closely with local beneficiaries.,REG15810544,"clothes, kitchenware","legal aid, teaching",https://www.ashasevakendra.org
45,Shram Mission,Visakhapatnam,Andhra Pradesh,"research, disaster relief","Working towards sustainable research solutions, focusing on community-driven projects and capacity building.","Shram Mission works across Visakhapatnam, offering programs in research. They focus on long-term impact and community engagement.",REG79017445,medical supplies,"legal aid, agriculture expertise",
46,Jeevan Charitable Trust,Nagpur,Maharashtra,rural development,"We provide support and resources for rural development, aiming to build local resilience and skills.",Jeevan Charitable Trust runs multiple initiatives in Nagpur related to rural development and works closely with local beneficiaries.,REG51767146,"hygiene kits, stationery, clothes",,
47,Sahyog Initiative,Indore,Madhya Pradesh,"elderly care, livelihood","Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.","Sahyog Initiative works across Indore, offering programs in elderly care. They focus on long-term impact and community engagement.",REG54706147,"blankets, stationery","agriculture expertise, project management, event management",
48,Udaan Charitable Trust,Visakhapatnam,Andhra Pradesh,rural development,"Working towards sustainable rural development solutions, focusing on community-driven projects and capacity building.",Udaan Charitable Trust runs multiple initiatives in Visakhapatnam related to rural development and works closely with local beneficiaries.,REG37757248,books,"teaching, project management",
49,Shram Association,Bengaluru,Karnataka,"agriculture, livelihood",Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,"Shram Association works across Bengaluru, offering programs in agriculture. They focus on long-term impact and community engagement.",REG54645549,medical supplies,"fundraising, event management, counselling",
50,Samanvay Foundation,Mumbai,Maharashtra,"housing, elderly care","Focused on inclusive housing programs, especially targeting women, children and marginalized groups.","Samanvay Foundation works across Mumbai, offering programs in housing. They focus on long-term impact and community engagement.",REG64258150,hygiene kits,,
51,Seva Society,Bengaluru,Karnataka,"research, environment","Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG91211851,"medical supplies, food",teaching,
52,Saathi Mission,Jaipur,Rajasthan,livelihood,"Working towards sustainable livelihood solutions, focusing on community-driven projects and capacity building.",Saathi Mission runs multiple initiatives in Jaipur related to livelihood and works closely with local beneficiaries.,REG37463652,,"project management, legal aid, software development",
53,Nirmaan Seva Kendra,Bhopal,Madhya Pradesh,research,"Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",Nirmaan Seva Kendra runs multiple initiatives in Bhopal related to research and works closely with local beneficiaries.,REG19707553,,"counselling, event management, software development",
54,Jeevan Initiative,Patna,Bihar,"elderly care, research","Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG67221754,"food, computers","software development, logistics",
55,Udaan Society,Thiruvananthapuram,Kerala,"agriculture, mental health","We provide support and resources for agriculture, aiming to build local resilience and skills.",Udaan Society runs multiple initiatives in Thiruvananthapuram related to agriculture and works closely with local beneficiaries.,REG87894555,medical supplies,project management,https://www.udaansociety.org
56,Nirmaan Charitable Trust,Vadodara,Gujarat,environment,To improve access to environment services for underserved communities in Vadodara and surrounding areas.,A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG28231656,books,construction,
57,Shram Centre,Lucknow,Uttar Pradesh,"health, animal welfare",Committed to delivering scalable health interventions through partnerships with local stakeholders.,Shram Centre runs multiple initiatives in Lucknow related to health and works closely with local beneficiaries.,REG14887457,kitchenware,,https://www.shramcentre.org
58,Saathi Seva Kendra,Bengaluru,Karnataka,disability support,Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,A grassroots organization dedicated to disability support with experience in project implementation and volunteer coordination.,REG14604758,"books, blankets, hygiene kits","data analysis, teaching, medical",
59,Seva Society,Pune,Maharashtra,rural development,To improve access to rural development services for underserved communities in Pune and surrounding areas.,Seva Society runs multiple initiatives in Pune related to rural development and works closely with local beneficiaries.,REG43022959,"books, kitchenware, clothes",,
60,Sahyog Federation,Thiruvananthapuram,Kerala,"women empowerment, water & sanitation","Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG93746760,"clothes, food","fundraising, mentoring",
61,Samarpan Society,Bhopal,Madhya Pradesh,"mental health, housing","We provide support and resources for mental health, aiming to build local resilience and skills.","Samarpan Society works across Bhopal, offering programs in mental health. They focus on long-term impact and community engagement.",REG72113761,,"marketing, legal aid",
62,Pragati Trust,Vadodara,Gujarat,"women empowerment, agriculture","Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.","Pragati Trust works across Vadodara, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG72297562,,"mentoring, software development",
63,Jeevan Foundation,Kolkata,West Bengal,research,"Focused on inclusive research programs, especially targeting women, children and marginalized groups.",Jeevan Foundation runs multiple initiatives in Kolkata related to research and works closely with local beneficiaries.,REG91236963,stationery,,
64,Sankriti Society,Thiruvananthapuram,Kerala,child welfare,To improve access to child welfare services for underserved communities in Thiruvananthapuram and surrounding areas.,"Sankriti Society works across Thiruvananthapuram, offering programs in child welfare. They focus on long-term impact and community engagement.",REG29415064,computers,"fundraising, medical, construction",
65,Nirmaan Society,Delhi,Delhi,"disaster relief, elderly care",To improve access to disaster relief services for underserved communities in Delhi and surrounding areas.,"Nirmaan Society works across Delhi, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG52081665,"computers, clothes",project management,
66,Pragati Mission,Mumbai,Maharashtra,mental health,"Focused on inclusive mental health programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to mental health with experience in project implementation and volunteer coordination.,REG26892066,"food, kitchenware",teaching,https://www.pragatimission.org
67,Sankalp Centre,Ahmedabad,Gujarat,elderly care,Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,Sankalp Centre runs multiple initiatives in Ahmedabad related to elderly care and works closely with local beneficiaries.,REG19833467,,"mentoring, construction, event management",
68,Pragati Federation,Guwahati,Assam,"research, skill development","Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",Pragati Federation runs multiple initiatives in Guwahati related to research and works closely with local beneficiaries.,REG81249168,stationery,teaching,
69,Nayi Soch Charitable Trust,Delhi,Delhi,"women empowerment, animal welfare","Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",Nayi Soch Charitable Trust runs multiple initiatives in Delhi related to women empowerment and works closely with local beneficiaries.,REG14691669,medical supplies,"legal aid, construction",
70,Samanvay Association,Mumbai,Maharashtra,"human rights, environment","Focused on inclusive human rights programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG24559570,books,"agriculture expertise, data analysis",
71,Udaan Association,Hyderabad,Telangana,"microfinance, environment","Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",Udaan Association runs multiple initiatives in Hyderabad related to microfinance and works closely with local beneficiaries.,REG65042971,"toys, medical supplies","project management, agriculture expertise, legal aid",
72,Pragati Association,Chennai,Tamil Nadu,agriculture,Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG76636772,medical supplies,project management,
73,Shram Trust,Mumbai,Maharashtra,agriculture,"Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to agriculture with experience in project implementation and volunteer coordination.,REG10572373,computers,legal aid,https://www.shramtrust.org
74,Navjeevan Mission,Bhopal,Madhya Pradesh,research,Committed to delivering scalable research interventions through partnerships with local stakeholders.,Navjeevan Mission runs multiple initiatives in Bhopal related to research and works closely with local beneficiaries.,REG18930474,"stationery, clothes",legal aid,
75,Navjeevan Mission,Kolkata,West Bengal,microfinance,Committed to delivering scalable microfinance interventions through partnerships with local stakeholders.,Navjeevan Mission runs multiple initiatives in Kolkata related to microfinance and works closely with local beneficiaries.,REG44166075,"stationery, medical supplies",,
76,Udaan Association,Surat,Gujarat,"women empowerment, mental health","Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",Udaan Association runs multiple initiatives in Surat related to women empowerment and works closely with local beneficiaries.,REG64669176,"food, clothes","data analysis, mentoring",
77,Nayi Soch Federation,Ahmedabad,Gujarat,human rights,To improve access to human rights services for underserved communities in Ahmedabad and surrounding areas.,Nayi Soch Federation runs multiple initiatives in Ahmedabad related to human rights and works closely with local beneficiaries.,REG34481277,toys,"marketing, event management",
78,Saathi Centre,Vadodara,Gujarat,skill development,"We provide support and resources for skill development, aiming to build local resilience and skills.","Saathi Centre works across Vadodara, offering programs in skill development. They focus on long-term impact and community engagement.",REG32285578,"food, books","logistics, software development",
79,Asha Foundation,Indore,Madhya Pradesh,"elderly care, mental health","Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG75454679,,"fundraising, medical, project management",
80,Shram Seva Kendra,Vadodara,Gujarat,"research, animal welfare","We provide support and resources for research, aiming to build local resilience and skills.",Shram Seva Kendra runs multiple initiatives in Vadodara related to research and works closely with local beneficiaries.,REG19313580,blankets,,
81,Nirmaan Initiative,Patna,Bihar,"agriculture, mental health",To improve access to agriculture services for underserved communities in Patna and surrounding areas.,"Nirmaan Initiative works across Patna, offering programs in agriculture. They focus on long-term impact and community engagement.",REG69385481,,,
82,Sankalp Seva Kendra,Indore,Madhya Pradesh,"agriculture, mental health",Committed to delivering scalable agriculture interventions through partnerships with local stakeholders.,"Sankalp Seva Kendra works across Indore, offering programs in agriculture. They focus on long-term impact and community engagement.",REG96336682,"toys, computers","mentoring, logistics",https://www.sankalpsevakendra.org
83,Nayi Disha Seva Kendra,Indore,Madhya Pradesh,"child welfare, health","We provide support and resources for child welfare, aiming to build local resilience and skills.","Nayi Disha Seva Kendra works across Indore, offering programs in child welfare. They focus on long-term impact and community engagement.",REG82559683,"blankets, food, toys","logistics, legal aid",
84,Prerna Association,Ahmedabad,Gujarat,"mental health, arts & culture",To improve access to mental health services for underserved communities in Ahmedabad and surrounding areas.,Prerna Association runs multiple initiatives in Ahmedabad related to mental health and works closely with local beneficiaries.,REG64038384,,,
85,Sankriti Seva Kendra,Ahmedabad,Gujarat,disability support,"Focused on inclusive disability support programs, especially targeting women, children and marginalized groups.","Sankriti Seva Kendra works across Ahmedabad, offering programs in disability support. They focus on long-term impact and community engagement.",REG52597685,"kitchenware, stationery",software development,
86,Sankalp Foundation,Mumbai,Maharashtra,housing,"Focused on inclusive housing programs, especially targeting women, children and marginalized groups.","Sankalp Foundation works across Mumbai, offering programs in housing. They focus on long-term impact and community engagement.",REG93756786,food,,
87,Shram Seva Kendra,Chennai,Tamil Nadu,mental health,Committed to delivering scalable mental health interventions through partnerships with local stakeholders.,"Shram Seva Kendra works across Chennai, offering programs in mental health. They focus on long-term impact and community engagement.",REG86849387,"stationery, books",legal aid,
88,Samanvay Centre,Mumbai,Maharashtra,housing,"Focused on inclusive housing programs, especially targeting women, children and marginalized groups.",Samanvay Centre runs multiple initiatives in Mumbai related to housing and works closely with local beneficiaries.,REG27530688,,"construction, agriculture expertise, software development",
89,Udaan Centre,Kochi,Kerala,"research, education",To improve access to research services for underserved communities in Kochi and surrounding areas.,Udaan Centre runs multiple initiatives in Kochi related to research and works closely with local beneficiaries.,REG50943589,"blankets, stationery","legal aid, mentoring, medical",https://www.udaancentre.org
90,Udaan Centre,Bengaluru,Karnataka,"skill development, rural development","Focused on inclusive skill development programs, especially targeting women, children and marginalized groups.",Udaan Centre runs multiple initiatives in Bengaluru related to skill development and works closely with local beneficiaries.,REG56765390,"computers, kitchenware, blankets",,https://www.udaancentre.org
91,Sankriti Foundation,Lucknow,Uttar Pradesh,"skill development, water & sanitation",To improve access to skill development services for underserved communities in Lucknow and surrounding areas.,A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG95435691,"computers, food",,
92,Saathi Trust,Bhopal,Madhya Pradesh,"elderly care, disaster relief",To improve access to elderly care services for underserved communities in Bhopal and surrounding areas.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG66303392,"stationery, books","medical, project management",https://www.saathitrust.org
93,Prerna Charitable Trust,Delhi,Delhi,"mental health, human rights","Focused on inclusive mental health programs, especially targeting women, children and marginalized groups.",Prerna Charitable Trust runs multiple initiatives in Delhi related to mental health and works closely with local beneficiaries.,REG67321793,"computers, kitchenware",,
94,Jeevan Mission,Surat,Gujarat,women empowerment,"Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.","Jeevan Mission works across Surat, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG10826794,"stationery, clothes, computers","agriculture expertise, legal aid, construction",
95,Navjeevan Federation,Lucknow,Uttar Pradesh,women empowerment,"Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.","Navjeevan Federation works across Lucknow, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG92457395,"food, books","construction, project management, logistics",
96,Asha Federation,Ahmedabad,Gujarat,arts & culture,"Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.","Asha Federation works across Ahmedabad, offering programs in arts & culture. They focus on long-term impact and community engagement.",REG13909196,,"marketing, legal aid",https://www.ashafederation.org
97,Nayi Soch Initiative,Kochi,Kerala,"elderly care, disability support","Working towards sustainable elderly care solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG6010750,clothes,data analysis,
98,Saathi Society,Kochi,Kerala,arts & culture,"Focused on inclusive arts & culture programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to arts & culture with experience in project implementation and volunteer coordination.,REG8187231,"books, food, kitchenware",mentoring,
99,Samarpan Charitable Trust,Visakhapatnam,Andhra Pradesh,livelihood,"Working towards sustainable livelihood solutions, focusing on community-driven projects and capacity building.",Samarpan Charitable Trust runs multiple initiatives in Visakhapatnam related to livelihood and works closely with local beneficiaries.,REG7477392,hygiene kits,software development,
100,Dhanak Charitable Trust,Vadodara,Gujarat,skill development,Committed to delivering scalable skill development interventions through partnerships with local stakeholders.,Dhanak Charitable Trust runs multiple initiatives in Vadodara related to skill development and works closely with local beneficiaries.,REG2101443,,"teaching, logistics, counselling",
101,Nayi Disha Seva Kendra,Vadodara,Gujarat,"skill development, education",Committed to delivering scalable skill development interventions through partnerships with local stakeholders.,"Nayi Disha Seva Kendra works across Vadodara, offering programs in skill development. They focus on long-term impact and community engagement.",REG2144714,"computers, blankets",counselling,https://www.nayidishasevakendra.org
102,Nirmaan Society,Nagpur,Maharashtra,disability support,"Focused on inclusive disability support programs, especially targeting women, children and marginalized groups.",Nirmaan Society runs multiple initiatives in Nagpur related to disability support and works closely with local beneficiaries.,REG7595715,"medical supplies, food",,
103,Seva Charitable Trust,Vadodara,Gujarat,child welfare,"Focused on inclusive child welfare programs, especially targeting women, children and marginalized groups.",Seva Charitable Trust runs multiple initiatives in Vadodara related to child welfare and works closely with local beneficiaries.,REG7473956,"hygiene kits, medical supplies","project management, legal aid",https://www.sevacharitabletrust.org
104,Prerna Mission,Delhi,Delhi,water & sanitation,"We provide support and resources for water & sanitation, aiming to build local resilience and skills.",Prerna Mission runs multiple initiatives in Delhi related to water & sanitation and works closely with local beneficiaries.,REG4726957,stationery,"agriculture expertise, legal aid",
105,Seva Charitable Trust,Thiruvananthapuram,Kerala,housing,"Focused on inclusive housing programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG9310578,,"construction, logistics, medical",
106,Jagruti Charitable Trust,Thiruvananthapuram,Kerala,arts & culture,Committed to delivering scalable arts & culture interventions through partnerships with local stakeholders.,A grassroots organization dedicated to arts & culture with experience in project implementation and volunteer coordination.,REG1862919,,"project management, counselling",
107,Nayi Disha Trust,Jaipur,Rajasthan,"skill development, child welfare",To improve access to skill development services for underserved communities in Jaipur and surrounding areas.,"Nayi Disha Trust works across Jaipur, offering programs in skill development. They focus on long-term impact and community engagement.",REG96692410,medical supplies,"construction, project management",
108,Prerna Trust,Kochi,Kerala,mental health,"Focused on inclusive mental health programs, especially targeting women, children and marginalized groups.",Prerna Trust runs multiple initiatives in Kochi related to mental health and works closely with local beneficiaries.,REG39769711,,project management,
109,Nayi Disha Mission,Indore,Madhya Pradesh,environment,To improve access to environment services for underserved communities in Indore and surrounding areas.,"Nayi Disha Mission works across Indore, offering programs in environment. They focus on long-term impact and community engagement.",REG62719012,"blankets, clothes, medical supplies","project management, fundraising, event management",
